StarIy,omg00X,LyRiz,minami0928,Supercell7,hiroki325
*Lance*,*Ylva*,*Skye*,*Skaarf*,*Grace*,
*Joule*,*Adagio*,*Kestrel*,*Skaarf*,*Fortress*,
*Skaarf*,*Adagio*,*Glaive*,*Celeste*,*Lorelai*,
*Joule*,*Adagio*,*Anka*,*Skaarf*,*Lorelai*,
*Lance*,*Anka*,*Tony*,*Celeste*,*Churnwalker*,
,*Adagio*,*Fortress*,*Celeste*,*Adagio*,
,*Adagio*,*Glaive*,*Grumpjaw*,*Fortress*,
,*Adagio*,*Glaive*,*Samuel*,*Churnwalker*,
,*Adagio*,*Sanfeng*,*Magnus*,*Sanfeng*,
,*Adagio*,*Yates*,*Skaarf*,*Adagio*,
,*Kinetic*,*Lance*,*Celeste*,,
,*Kinetic*,*Kinetic*,*Celeste*,,
,*Adagio*,*Kinetic*,*Celeste*,,
,*Kinetic*,*Baron*,*Samuel*,,
,*Baron*,*Anka*,,,
,*Ylva*,*Grumpjaw*,,,
,*Adagio*,*Glaive*,,,
,*Adagio*,*Anka*,,,
,*Ylva*,*Glaive*,,,
,*Ylva*,*Anka*,,,
,*Adagio*,*Anka*,,,
,*Gwen*,*Ylva*,,,
,*Baron*,*Ylva*,,,
,*Baron*,*Skye*,,,
,*Baron*,*Reza*,,,
,*Gwen*,*Celeste*,,,
,*Adagio*,*Skye*,,,
,*Baron*,*Anka*,,,
,*Ylva*,*Ylva*,,,
,*Gwen*,*Samuel*,,,
,*Baron*,*Reim*,,,
,*Adagio*,,,,
,*Baron*,,,,
,*Kinetic*,,,,
,*Gwen*,,,,
,*Kinetic*,,,,
,*Gwen*,,,,
,*Baron*,,,,
,*Baron*,,,,
