Ghostsoul,BaBalA,XiGuaGua,Hunt_Godfather,JeIIyfishEA
*Lance*,*Reza*,*Magnus*,*Joule*,
*Lyra*,*Skaarf*,*Skaarf*,*Skaarf*,
*Churnwalker*,*Reza*,*Malene*,*Lance*,
*Ardan*,*Skaarf*,*Samuel*,*Sanfeng*,
*Ardan*,*Adagio*,*Vox*,*Ylva*,
*Yates*,*Adagio*,*Magnus*,,
*Churnwalker*,*Skaarf*,*Celeste*,,
*Lance*,*Ylva*,*Magnus*,,
*Phinn*,*Reza*,*Skaarf*,,
*Churnwalker*,*Adagio*,*Malene*,,
*Lyra*,*Reza*,*Samuel*,,
*Lorelai*,*Reza*,*Samuel*,,
*Lance*,*Grumpjaw*,*Samuel*,,
*Sanfeng*,*Skaarf*,*Joule*,,
*Lance*,*Skaarf*,*Magnus*,,
*Ardan*,*Sanfeng*,*Samuel*,,
*Lyra*,*Lance*,*Skaarf*,,
*Phinn*,*Adagio*,*Samuel*,,
*Lance*,*Reza*,*Magnus*,,
*Ardan*,*Skaarf*,*Malene*,,
*Ardan*,*Adagio*,*Joule*,,
*Lyra*,*Reza*,*Samuel*,,
*Lance*,*Reza*,*Skaarf*,,
*Adagio*,*Grumpjaw*,*Skaarf*,,
*Adagio*,*Reza*,*Samuel*,,
*Lorelai*,*Reza*,*Magnus*,,
*Lance*,*Lance*,*Celeste*,,
*Ardan*,*Lance*,*Joule*,,
*Ardan*,*Lance*,*Samuel*,,
*Yates*,*Lance*,*Sanfeng*,,
*Fortress*,*Lance*,*Magnus*,,
*Sanfeng*,*Grumpjaw*,*Varya*,,
*Ardan*,*Reza*,*Celeste*,,
*Sanfeng*,*Adagio*,*Celeste*,,
*Inara*,*Reza*,,,
*Baptiste*,*Lance*,,,
*Samuel*,*Skaarf*,,,
*Glaive*,*Grumpjaw*,,,
*Ylva*,*Reza*,,,
*Anka*,*Skaarf*,,,
*Sanfeng*,*Reza*,,,
*Fortress*,*Adagio*,,,
*SAW*,*Lance*,,,
*Joule*,*Reza*,,,
*Samuel*,*Adagio*,,,
*SAW*,*Skaarf*,,,
*Sanfeng*,*Adagio*,,,
*Anka*,*Joule*,,,
*Baptiste*,*Lance*,,,
*Grumpjaw*,*Reza*,,,
*Ylva*,*Lance*,,,
*Kinetic*,*Adagio*,,,
*SAW*,*Reza*,,,
*Sanfeng*,*Adagio*,,,
*Ylva*,*Grumpjaw*,,,
*Adagio*,*Joule*,,,
*Grace*,*Joule*,,,
*Ardan*,*Lance*,,,
*Ardan*,*Joule*,,,
*Churnwalker*,*Joule*,,,
*Adagio*,,,,
*Sanfeng*,,,,
*Ardan*,,,,
*Lance*,,,,
*Ardan*,,,,
*Lyra*,,,,
*Lyra*,,,,
*Adagio*,,,,
*Adagio*,,,,
*Lorelai*,,,,
*Churnwalker*,,,,
*Churnwalker*,,,,
*Lorelai*,,,,
*Grace*,,,,
*Churnwalker*,,,,
*Churnwalker*,,,,
*Ardan*,,,,
*Baptiste*,,,,
*Churnwalker*,,,,
*Adagio*,,,,
